user.name	tweet.location	tweet.geoLocation	tweet.retweet	tweet.content	block.numsenti.negative	senti.neutral	senti.positive	senti.compound
katmakhni	Phoenix, AZ	-111.98462,33.50831	false	sunday situation  @ The Henry https://t.co/w4v0uX0APL	259	0.0	1.0	0.0	0.0
DestinationJobs	Phoenix, AZ	-112.0740373,33.4483771	false	This #job might be a great fit for you: Host(ess) AM Weekends - https://t.co/M7jUeG44kH #Hospitality #Phoenix, AZ #Hiring	174	0.0	0.68	0.32	0.765
ultabeautyjobs	Phoenix, AZ	-112.1580802,33.4239014	false	We're #hiring! Click to apply: DC Maintenance Mechanic - https://t.co/fvUR6homSE #Job #SkilledTrade #Phoenix, AZ https://t.co/QAXqNFClxM	150	0.0	1.0	0.0	0.0
JillGalus	Arizona, USA	-112.26132107,33.53237729	false	Princess Leia and her crew, in a galaxy far, far away (otherwise known as gilariverarena) for https://t.co/y8aXwDtbx1	264	0.0	1.0	0.0	0.0
ParamountEnt_AZ	Arizona, USA	-112.26249803,33.52812567	false	Shock Top sistas!! Random pic with a random Cardinals fan! The https://t.co/HBh59BBiY1	264	0.167	0.514	0.319	0.3348
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	See our latest #Phoenix, AZ #job and click to apply: Pharmacy Technician - Target Store - https://t.co/p3FmfXnsGS #Healthcare #Hiring	174	0.0	1.0	0.0	0.0
tmj_phx_manuf	Arizona, USA	-112.1859866,33.5386523	false	Want to work at Corning? We're #hiring in #Glendale, AZ! Click for details: https://t.co/acULJgTVKv #Job #Manufacturing #Jobs #CareerArc	268	0.0	0.914	0.086	0.1511
michelineetkin	Phoenix, AZ	-112.01467561,33.45444578	false	alicecoopersolidrock Christmas Pudding 2016. @realalicecooper and Sheryl you dream of getting https://t.co/I1DHvqCRnv	198	0.0	0.846	0.154	0.25
DestinationJobs	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Server PM F/T - https://t.co/ypfZQcFtQy #Job #Hospitality #Phoenix, AZ #Jobs	174	0.0	1.0	0.0	0.0
MTC_Jobs	Phoenix, AZ	-112.256285,33.4895398	false	Can you recommend anyone for this #job? Special Education Teacher - https://t.co/xy7sMFdiYz #SpecialEd #Education https://t.co/VKqalF9tim	224	0.0	0.698	0.302	0.6369
attCAREERS	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Part Time Retail Sales Consultant - https://t.co/qfAk1AeJ6I #Job #Retail #Phoenix, A https://t.co/tDcz8IBIQJ	174	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/N4bZGzEuFc #SignOnBonus #NurseLife https://t.co/koX7DTxNxh	196	0.0	0.563	0.437	0.8519
Sammys99beers	Phoenix, AZ	-111.977,33.3172	false	Drinking a Holiday Hound by @Unclebearsbrew at @unclebearsbrew  https://t.co/VwAlgWuzK6	40	0.0	0.722	0.278	0.4019
tmj_phx_nursing	Phoenix, AZ	-112.0423562,33.4544851	false	Join the St. Luke's Medical Center team! See our latest #job opening here: https://t.co/vdBoSM3GMb #Nursing #Phoenix, AZ #Hiring	196	0.0	0.872	0.128	0.3595
DesertViewRealt	Phoenix, AZ	-111.991522,33.725213	false	Nicely updated with granite in the kitchen, all stainless appliances and washer and dryer, newer light fixtures and https://t.co/dZEgHxS9dJ	499	0.0	0.861	0.139	0.4404
MTC_Jobs	Arizona, USA	-112.1728283,33.5903698	false	Can you recommend anyone for this #job? Resource Specialist Teacher (RSP) - https://t.co/52K4pj238W #Education https://t.co/qqjnaJ4zOk	329	0.0	0.839	0.161	0.3612
tmj_phx_sales	Arizona, USA	-112.256285,33.5321111	false	Join the dressbarn team! See our latest #job opening here: https://t.co/VXloWKY2E2 #Sales #Glendale, AZ #Hiring #CareerArc	264	0.0	0.858	0.142	0.3595
tmj_phx_hrta	Arizona, USA	-112.2025659,33.6716614	false	If you're looking for work in , check out this #job: https://t.co/oxzkgeZMCz #Hospitality #Veterans #Hiring #CareerArc	427	0.0	1.0	0.0	0.0
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	24 bodies found inside Oakland warehouse where a deadly fire happened late Friday night, according to off https://t.co/9kEZMeUUGQ	193	0.13	0.87	0.0	-0.34
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	FOUND: The two girls missing in Phoenix after a sleepover have been found safe and are returning home. https://t.co/AtngIovaiT	193	0.104	0.758	0.137	0.1779
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Weather now: clear sky, 60F, 5 mph northeast wind. https://t.co/ST031yJhJB	193	0.0	0.755	0.245	0.3818
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Most discussed topic in Phoenix right now: Friday Eve https://t.co/kkRINyFjyX	193	0.0	1.0	0.0	0.0
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Teller - https://t.co/1l87uqG8z7 #Job #Phoenix, AZ #Veterans #Jobs #CareerArc	174	0.0	1.0	0.0	0.0
tmj_AZS_HRTA	Phoenix, AZ	-111.9955476,33.625996	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/qfqvWYb5oH #SONIC #Hospitality #Hiring #CareerArc	379	0.0	1.0	0.0	0.0
ICE_Careers	Arizona, USA	-112.1859866,33.5386523	false	Join the International Cruise & Excursion... team! See our latest #job opening here: https://t.co/dsCG968PWu #LifeatICE #Glendale, AZ	268	0.0	0.858	0.142	0.3595
evesbk	Avondale, AZ	-112.28860768,33.4923429	false	I'm at @FrysFoodStoreS in Avondale, AZ https://t.co/HvPZuoNif8	222	0.0	1.0	0.0	0.0
greco_james	Phoenix, AZ	-112.15011341,33.58482915	false	Break Time. ..#positivevibesonly #sundayfeeling #art #artist #abstract #abstractart https://t.co/xIhdWd5dva	330	0.0	1.0	0.0	0.0
Cazoshay_Marie	Arizona, USA	-112.23861111,33.5825	false	Looking for a unique holiday scent that's as sweet and fun as you are? Try my Vanilla Lemon https://t.co/u7x8UIdpDl	325	0.0	0.625	0.375	0.8402
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/9IqQHoIK9a #Healthcare #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	See our latest #Phoenix, AZ #job and click to apply: Registered Nurse - Bariatric Coordinator - Full Time - https://t.co/PJVWIBIJTd	196	0.0	1.0	0.0	0.0
hon_e18	Arizona, USA	-112.1827506,33.53854604	false	when the lights go down in the city  @ Glendale Glitter https://t.co/j5GBduuRxu	268	0.0	1.0	0.0	0.0
pinputlistings	Phoenix, AZ	-112.090955,33.465047	false	$329,900 1342 W Lynwood Street, #Phoenix, #AZ - 1342 West Lynwood is... #ARIZONA #realEstate https://t.co/p0x6UpoO3h https://t.co/3oL7xcYHLT	193	0.0	1.0	0.0	0.0
bnarrowhead	Arizona, USA	-112.2239848,33.63583819	false	We are so excited to have local author, Ned Wolf, signing at our store today! Stop in at 1pm to https://t.co/PY6u7m2vrQ	386	0.089	0.772	0.139	0.2978
SunstateJobs	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Credit Manager - https://t.co/Fkk0P7LxFH #Job #Finance #Phoenix, AZ #Jobs https://t.co/JXsHcvN0zL	174	0.0	0.818	0.182	0.4389
MORSMALL	Phoenix, AZ	-111.98339036,33.34842503	false	Raiders legend Greg Townsend at raiders bar today! Yes go raiders https://t.co/7yHoKI4wl9	79	0.0	0.786	0.214	0.4574
AnnabellaB8	Phoenix, AZ	-112.07135783,33.44599537	false	GP's last words and wisdom #WeAreAcn  @ Talking Stick Resort Arena https://t.co/o0VaGxxzKw	174	0.0	0.746	0.254	0.5267
MORSMALL	Phoenix, AZ	-111.98339036,33.34842503	false	Greg Townsend dhrbcinaz raiders #raidersnation https://t.co/1CfPfYwoLG	79	0.0	1.0	0.0	0.0
StJosephsJobs	Phoenix, AZ	-112.0863874,33.5080943	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/47ZFBc3466 #Job #Nursing #Jobs #Hiring	254	0.0	0.915	0.085	0.0772
deannerussell	Phoenix, AZ	-112.0863874,33.5080943	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/kqfaDy6f0L #Job #Healthcare #Jobs #Hiring	254	0.0	0.915	0.085	0.0772
recruiteraz	Phoenix, AZ	-112.0863874,33.5080943	false	Join the St Josephs Hospital & Med Center team! See our latest #job opening here: https://t.co/A6t5PhdYr0 #Physician #Phoenix, AZ #Hiring	254	0.0	0.878	0.122	0.3595
POWER983	Phoenix, AZ	-112.09839,33.53745	false	The #FlavaUnit and our friends from #Squirt are out at Fry's on 19th Ave and Glendale till 1pm! https://t.co/iscIHjOhjh	273	0.0	0.841	0.159	0.5255
tmj_phx_nursing	Phoenix, AZ	-112.0423562,33.4544851	false	We're #hiring! Read about our latest #job opening here: Registered Nurse - Adult Integrated Psych - Full Time - https://t.co/tGQKOBw8ZW	196	0.0	1.0	0.0	0.0
BrentW27	Arizona, USA	-112.20865118,33.70974204	false	I'm at Christ's Church of the Valley (CCV) - @ccvonline in Peoria, AZ https://t.co/rRfv0SIrJo	467	0.0	1.0	0.0	0.0
tmj_phx_acct	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Accounts Receivable Supervisor - https://t.co/khT3hUFLhc #Job #Accounting #Phoenix, AZ #Jobs #CareerArc	174	0.0	1.0	0.0	0.0
Yxes	Phoenix, AZ	-112.135185,33.609913	false	More Xmas decorations (at @BigLots in Phoenix, AZ w/ @leophx @spikeheelgirl @hornelynn) https://t.co/9W3VNLjhzY https://t.co/H3xpPXAni9	351	0.0	1.0	0.0	0.0
tmj_phx_hrta	Phoenix, AZ	-112.2867515,33.4931984	false	This #job might be a great fit for you: Barista (US) - https://t.co/d3G3crZoUq #Hospitality #Veterans #Hiring #CareerArc	223	0.0	0.663	0.337	0.765
tmj_phx_health	Phoenix, AZ	-112.0863874,33.5080943	false	This #job might be a great fit for you: RN Care Coordination - https://t.co/GooAhJVf2J #Healthcare #Phoenix, AZ #Hiring #CareerArc	254	0.0	0.588	0.412	0.8689
AnnabellaB8	Phoenix, AZ	-112.07135783,33.44599537	false	TAKING IT ALL IN #WeAreAcn @ Talking Stick Resort Arena https://t.co/AR8rrFt8rv	174	0.0	1.0	0.0	0.0
ultabeautyjobs	Phoenix, AZ	-112.1580802,33.4239014	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/HPMIJ7Ttiv #SupplyChain #Hiring https://t.co/63QIfYCK1U	150	0.0	0.563	0.437	0.8519
megkrein	Phoenix, AZ	-112.07094603,33.46187205	false	Just a swinging. #Archerporter #Boymom @ Margaret T Hance Park https://t.co/TiSocEgwdY	194	0.0	1.0	0.0	0.0
tmj_usa_socsci	Phoenix, AZ	-112.0740373,33.4483771	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/nwHUPDqllE #SocialSciences #Hiring #CareerArc	174	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.1689,33.49499	false	Accident in #Phoenix on Indian School Rd west of 51st Ave #PHXtraffic https://t.co/hUIi7YWVvM	229	0.205	0.795	0.0	-0.4767
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Can you recommend anyone for this #job? Registered Nurse - Regional Transfer Center - Full Time - https://t.co/WGTc3kfTCl	196	0.0	0.848	0.152	0.3612
DesertViewRealt	Paradise Valley, AZ	-111.973933,33.565856	false	**NEW PRICE BASED ON BANK APPRAISAL** TWO PLUS ACRES IN THE TOWN OF P.V. ON A GREAT NORTH/SOUTH LOT WITH MOUNTAIN VI https://t.co/5JVJkyt2EX	320	0.0	0.813	0.187	0.7034
tmj_AZS_HRTA	Phoenix, AZ	-111.9737293,33.4661335	false	We're #hiring! Click to apply: Restaurant Team Member (Crew) - https://t.co/oI99ouR1QB #Job #SONIC #Hospitality #Phoenix, AZ #Jobs	200	0.0	1.0	0.0	0.0
BillyEmbody	Arizona, USA	-112.26249803,33.52812567	false	Bout that time. #HTTR @ University of Phoenix Stadium https://t.co/sDGGxDfLoo	264	0.0	1.0	0.0	0.0
hei_engCareers	Phoenix, AZ	-112.0740373,33.4483771	false	Join the Henderson Engineers team! See our latest #job opening here: https://t.co/oU3URMqhvX #STEM #MEP #heiproud https://t.co/M7457XwSRu	174	0.0	0.858	0.142	0.3595
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/prgMFYnXXQ #SignOnBonus #NurseLife #Nursing https://t.co/RHyKiMSDQv	196	0.0	0.848	0.152	0.3612
DesertViewRealt	Phoenix, AZ	-112.020401,33.524876	false	Beautiful 3 bedroom, 2.5 bath home in the sought-after Biltmore Gates gated community. Striking great room, soari https://t.co/RFDGIiLi9m	277	0.0	0.652	0.348	0.8402
Tdi0nne	Arizona, USA	-112.1902609,33.57019346	false	HEY! YOU! Yeah you! Have you seen my final piece? Well one more chance to see it!!! Today @ 2:00 https://t.co/lSlTyFQRB5	308	0.0	0.687	0.313	0.7757
allieaskew	Phoenix, AZ	-111.983,33.3417	false	happy birthday to my crazy best friend and cousin can't wait to see you soon, love you @ https://t.co/3icq8gv8Rl	59	0.078	0.423	0.498	0.9313
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/86lKofNA28 #Veterans #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
tmj_phx_hrta	Arizona, USA	-112.2256801,33.6420951	false	Can you recommend anyone for this #job in ? https://t.co/JHmBVRZqWt #Hospitality #Veterans #Hiring #CareerArc	386	0.0	0.828	0.172	0.3612
tmj_phx_hr	Phoenix, AZ	-112.1123006,33.6629851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/Bvw9gwclI5 #Job #HR #Jobs #Hiring #CareerArc	412	0.0	0.92	0.08	0.0772
_PhoenixAZ	Phoenix, AZ	-112.07,33.45	false	current weather in Phoenix: clear sky, 63F 20% humidity, wind 5mph, pressure 1018mb	174	0.139	0.696	0.165	0.1027
_GlendaleAZ	Arizona, USA	-112.19,33.54	false	current weather in Glendale: clear sky, 63F 20% humidity, wind 5mph, pressure 1017mb	268	0.139	0.696	0.165	0.1027
tmj_phx_health	Phoenix, AZ	-112.0863874,33.5080943	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/EmKaPWFpUh #Job #Healthcare #Jobs #Hiring #CareerArc	254	0.0	0.92	0.08	0.0772
BiggDook	Arizona, USA	-112.26223,33.52728	false	Out here tailgaiting with the #redskins fans who all came from dc. Each year they pick an away https://t.co/2Bl9OGIi4Z	264	0.0	1.0	0.0	0.0
amadtaz	Phoenix, AZ	-112.0694199,33.5857582	false	An Arizona Redwood... @ North Mountain (Preserve) Phoenix, AZ https://t.co/8CJQiJChgo	334	0.0	1.0	0.0	0.0
tmj_phx_cstsrv	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Customer Service Rep. (Work at Home) - https://t.co/NdTnS4MGif #Job #CustomerService #Phoenix, AZ #Jobs	174	0.0	1.0	0.0	0.0
work4dominos	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Delivery Driver - https://t.co/w80X2ikorB #Job #Hospitality #Phoenix, AZ #Jobs	174	0.0	1.0	0.0	0.0
thatswithaCK	Phoenix, AZ	-112.0740861,33.4563557	false	Street Art @ The Grand Central Coffee Company https://t.co/L6zr7GevYP	194	0.0	0.7	0.3	0.4588
tmj_phx_nursing	Sun City, AZ	-112.2718239,33.5975393	false	Interested in a #job in #SunCity, AZ? This could be a great fit: https://t.co/lrrE1GovP9 #Nursing #Hiring #CareerArc	343	0.0	0.563	0.437	0.8519
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	This #job might be a great fit for you: Registered Nurse - Clinical Coordinator - ICU - Full Time - Nights - https://t.co/G1d16qb4fX	196	0.0	0.694	0.306	0.765
tmj_AZS_retail	Phoenix, AZ	-112.1176854,33.8066437	false	We're #hiring! Click to apply: Seasonal Freight Associate (Early Morning) - https://t.co/Z04iOZQT59 #Job #Retail #Phoenix, AZ #Jobs	572	0.0	1.0	0.0	0.0
tmj_phx_it	Phoenix, AZ	-112.0863874,33.5080943	false	We're #hiring! Click to apply: Program Manager II - https://t.co/89xN079xe3 #Job #IT #Phoenix, AZ #Jobs #CareerArc	254	0.0	1.0	0.0	0.0
RhinosRants	Phoenix, AZ	-112.11754272,33.64166784	false	I'm at @SantisiBrothers Pizzeria & Sports Grill in Phoenix, AZ https://t.co/TeXsHtvj9V	392	0.0	1.0	0.0	0.0
HonorHealthJobs	Phoenix, AZ	-112.1012912,33.6782379	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/u4K8l46HRt #Nursing #Hiring https://t.co/G0T03GShNg	433	0.0	0.839	0.161	0.3612
tmj_phx_hrta	Phoenix, AZ	-112.0276524,33.508559	false	This #job might be a great fit for you: Barista (US) - https://t.co/HSsR2bP9h6 #Hospitality #Veterans #Hiring #CareerArc	257	0.0	0.663	0.337	0.765
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Montreal Moment: Old Montreal in autumn https://t.co/5BXW0I9E2b	193	0.0	1.0	0.0	0.0
jcolebaird	Phoenix, AZ	-112.00010415,33.43598734	false	another one  @ Phoenix Sky Harbor International Airport https://t.co/i4wzvomm6M	178	0.0	1.0	0.0	0.0
tmj_phx_cosmo	Phoenix, AZ	-112.0551044,33.3041308	false	Join the Great Clips team! See our latest #job opening here: https://t.co/WuoQ1XgWCH #Cosmetology #Phoenix, AZ #Hiring #CareerArc	15	0.0	0.695	0.305	0.7644
LeviStraussJobs	Phoenix, AZ	-112.0093984,33.6531622	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/f71QRyd9r5 #Retail #Hiring	418	0.0	1.0	0.0	0.0
tmj_phx_banking	Phoenix, AZ	-112.0740373,33.4483771	false	This #job might be a great fit for you: Phone Banker 1 - https://t.co/97NJ2e1HAd #Banking #Phoenix, AZ #Veterans #Hiring #CareerArc	174	0.0	0.708	0.292	0.765
MORSMALL	Phoenix, AZ	-111.98339036,33.34842503	false	Just posted a video @ Cactus Jack's Ahwatukee Tavern https://t.co/9xNYFQWUQK	79	0.0	1.0	0.0	0.0
tmj_phx_adv	Phoenix, AZ	-112.0740373,33.4483771	false	Join the International Cruise & Excursion... team! See our latest #job opening here: https://t.co/MjOfjPCbaQ #Marketing #Phoenix, AZ	174	0.0	0.858	0.142	0.3595
tmj_PHX_skltrd	Phoenix, AZ	-112.0702225,33.4499672	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/mr9bRcVpjj #SkilledTrade #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/H8iATaVT0R #Healthcare #Hiring #CareerArc	174	0.0	0.563	0.437	0.8519
kennedymaine	Phoenix, AZ	-112.07638889,33.52833333	false	Pencil Neck : @lupeintransit @ Phoenix, Arizona https://t.co/IUCIswd7gj	274	0.0	1.0	0.0	0.0
PFGCareers	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at Performance Food Group? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/Q4gRAmtSD3 https://t.co/0Gek3JfH9M	174	0.0	0.91	0.09	0.1511
BuiltbyRyan	Arizona, USA	-112.211792,33.638052	false	Messing with bass overdrives today. This is one of my favs. I like to get some reference tones https://t.co/7wlVih0fFC	387	0.0	0.872	0.128	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work at St. Luke's Medical Center? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/jz74pBj6xS	196	0.0	0.91	0.09	0.1511
tmj_phx_hrta	Arizona, USA	-112.1859866,33.5386523	false	Join the NCG team! See our latest #job opening here: https://t.co/pl3N3NUY8V #Hospitality #Glendale, AZ #Hiring #CareerArc	268	0.0	0.858	0.142	0.3595
StJosephsJobs	Phoenix, AZ	-112.0863874,33.5080943	false	We're #hiring! Click to apply: RN CTOR (Full-Time/Days) - https://t.co/MMv7R59uLw #Job #Nursing #Phoenix, AZ #Jobs	254	0.0	1.0	0.0	0.0
deannerussell	Phoenix, AZ	-112.0863874,33.5080943	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/BUS97Htx1c #Physician #Hiring	254	0.0	0.542	0.458	0.8519
recruiteraz	Phoenix, AZ	-112.0863874,33.5080943	false	This #job might be a great fit for you: RN- TICU (Full-Time/Nights) - https://t.co/iz9hyRhik0 #Nursing #Phoenix, AZ #Hiring	254	0.0	0.68	0.32	0.765
AmersR	Phoenix, AZ	-111.97688765,33.31739852	false	The artist hard at work with @uptownartaz #ornamentpainting #holidaycheer  @ RA Sushi Bar https://t.co/V18MNST9eb	40	0.104	0.896	0.0	-0.1027
12ossT	Arizona, USA	-112.26249803,33.52812567	false	If you wanted Korean BBQ, you should have come out to the orange lot https://t.co/cVa925bYNE	264	0.0	1.0	0.0	0.0
MedcorJobs	Phoenix, AZ	-112.0740373,33.4483771	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/7asajswFnU #Healthcare #Hiring https://t.co/U8vjk6fhPd	174	0.0	0.563	0.437	0.8519
_BitchCatchUp_	Avondale, AZ	-112.315,33.4542	false	Cleaning Up Chillin @ Avondale, Arizona https://t.co/zwAmXBI8wX	181	0.0	1.0	0.0	0.0
kat_misskitty	Phoenix, AZ	-112.07465117,33.50951218	false	Added color to this seafood themed tattoo for Jorge yesterday. Lines and shading healed, color https://t.co/QB1wm32eec	254	0.0	1.0	0.0	0.0
tmj_PHX_schn	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Merchandise Controller - https://t.co/zFXjAzvOo7 #Job #SupplyChain #Phoenix, AZ #Veterans #Jobs #CareerArc	174	0.0	1.0	0.0	0.0
dcsellsvegas	Arizona, USA	-112.26249342,33.52779779	false	I'm at University of Phoenix Stadium - @uopxstadium for @AZCardinals @Redskins in Glendale, AZ https://t.co/yu4IVY4z4M	264	0.0	1.0	0.0	0.0
tmj_phx_nursing	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/3UXdDFHevy #Job #Nursing #Jobs #Hiring #CareerArc	196	0.0	0.92	0.08	0.0772
drewrog	Phoenix, AZ	-112.15359618,33.69282763	false	You'll shoot yer eye out kid. #mykid #santa #xmas #2016 #maricopalivesteamers @ Maricopa Live https://t.co/Mtd18P3c21	450	0.156	0.844	0.0	-0.34
tmj_AZ_auto	Phoenix, AZ	-112.0184896,33.4808002	false	Join the Advance Auto Parts team! See our latest #job opening here: https://t.co/bXg6HtQRpV #Automotive #Phoenix, AZ #Hiring #CareerArc	217	0.0	0.872	0.128	0.3595
jeffk8900	Phoenix, AZ	-112.02738624,33.57916743	false	Why not start with your stupid fucking companies? https://t.co/iD9kPvDbhs	337	0.298	0.702	0.0	-0.5267
tmj_phx_health	Phoenix, AZ	-112.122529,33.5795216	false	Join the Banfield Pet Hospital team! See our latest #job opening here: https://t.co/FS34VawfHy #Physician #Metrocenter, AZ #Hiring	332	0.0	0.865	0.135	0.3595
tmj_phx_transp	Phoenix, AZ	-111.9775796,33.3478179	false	We're #hiring! Read about our latest #job opening here: Parts Delivery - https://t.co/gP9ihdZtK6 #Transportation #Phoenix, AZ #CareerArc	80	0.0	1.0	0.0	0.0
thisfitgirljess	Tempe, AZ	-111.965,33.3567	false	Orangey - Drinking a Space Bloody Orange by @AceCider @ Huss Brewing Company  https://t.co/aM1g1zFRDr #photo	80	0.209	0.791	0.0	-0.4404
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	This #job might be a great fit for you: Teller - https://t.co/ZvjQWXAuZc #Phoenix, AZ #Veterans #Hiring #CareerArc	174	0.0	0.663	0.337	0.765
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/Eg9q2zmC5e #Job #SignOnBonus #NurseLife https://t.co/dJGyAcbscq	196	0.0	0.915	0.085	0.0772
tmj_phx_hrta	Phoenix, AZ	-112.0740373,33.4483771	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/E7xNzCBkId #Hospitality #Hiring #CareerArc	174	0.0	0.563	0.437	0.8519
tfb158	Phoenix, AZ	-112.00010415,33.43598734	false	And we're home!! @danirenton & @porter44 check out the blue sky. https://t.co/FR7kwomD0N	178	0.0	1.0	0.0	0.0
BiggDook	Arizona, USA	-112.26249803,33.52812567	false	Hanging wit #redskins #azcardinals @ University of Phoenix Stadium https://t.co/ysAVITXodb	264	0.0	1.0	0.0	0.0
teamstewmom	Phoenix, AZ	-111.97418626,33.52182682	false	Merry Christmas from Camelback Mountain! #camelbacksanta https://t.co/E16cbucvVO	260	0.0	0.613	0.387	0.5848
MSMrecruiter	Phoenix, AZ	-112.0742543,33.4771563	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/MPAn7SZaC1 #engineering #BMcDCareers https://t.co/oJozUR3hKY	214	0.0	0.563	0.437	0.8519
tmj_phx_retail	Tempe, AZ	-111.9647254,33.3831468	false	Interested in a #job in #Tempe, AZ? This could be a great fit: https://t.co/25C0PLVOIE #Retail #Hiring #CareerArc	120	0.0	0.563	0.437	0.8519
tmj_AZS_retail	Phoenix, AZ	-111.9701346,33.6814648	false	See our latest #Phoenix, AZ #job and click to apply: Retail Sales-Seasonal Freight Associate (Early Morning) - https://t.co/ai2zvZp6PY	440	0.0	1.0	0.0	0.0
betancourt171	Phoenix, AZ	-112.08340625,33.51109867	false	Rows @ LA Fitness Phoenix West Camelback https://t.co/hFVH1XF5l8	254	0.0	0.741	0.259	0.2732
Mechelle1st	Phoenix, AZ	-112.07638889,33.52833333	false	Love what you've been doing for 2 years rubinelijah #Business #WeeklyMastermind #Connecting https://t.co/cuD4XoH65f	274	0.0	0.724	0.276	0.6369
HonorHealthJobs	Phoenix, AZ	-112.1123006,33.6629851	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/FHRUCIbLrp #Healthcare #Hiring https://t.co/jRCij1GUdE	412	0.0	1.0	0.0	0.0
annmarieee3	Phoenix, AZ	-112.04322598,33.5448748	false	Yellow rose last night with the future roomies  @ Aunt https://t.co/lOXvhd81K6	296	0.0	1.0	0.0	0.0
davevk1	Phoenix, AZ	-112.06650245,33.4488012	false	ASU Engineering students displaying their latest project at Arizona https://t.co/TAnG5SNyxF	175	0.0	1.0	0.0	0.0
OfficeTeamJobs	Phoenix, AZ	-112.1072528,33.5973469	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/ff4IJWm6fC #OfficeTeam #Sales #Hiring	352	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.0478,33.44722	false	Road closed due to broken water main in #Phoenix on 16th St NB between Jefferson St and Washington St #PHXtraffic https://t.co/hUIi7YWVvM	176	0.134	0.866	0.0	-0.4767
TotalTrafficPHX	Phoenix, AZ	-112.1866,33.44789	false	Closed due to road construction in #Phoenix on 59th Ave NB between Washington St and Van Buren St #PHXtraffic https://t.co/hUIi7YWVvM	168	0.0	1.0	0.0	0.0
POWER983	Phoenix, AZ	-112.09839,33.53745	false	The #FlavaUnit and our friends from #Squirt are out at Fry's on 19th Ave and Glendale till 1pm! https://t.co/se9cpT50nJ	273	0.0	0.841	0.159	0.5255
